created_at,match_date,tournament,surface,player,opponent,confidence,predicted_winner,normalized_player,history_matches,reasons
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,M. Pawelska,N. Daubnerova,0.504,M. Pawelska,m pawelska,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,M. Sheldon,J. Garcia,0.504,M. Sheldon,m sheldon,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,M. Shelton,E. Myers,0.504,M. Shelton,m shelton,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,M. Valkusz,M. Breazu,0.504,M. Breazu,m valkusz,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,Lexus Eastbourne Open,Grass,Madison Keys,Tatjana Maria,0.5119,Tatjana Maria,madison keys,68,low_confidence
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,N. Bak Szabo,J. Saner,0.504,J. Saner,n bak szabo,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,N. Daubnerova,M. Pawelska,0.504,M. Pawelska,n daubnerova,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Men 01,Unknown,N. Iantosca,A. Zamani,0.504,A. Zamani,n iantosca,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,N. Koppova,G. Roach,0.504,N. Koppova,n koppova,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,N. Mangiapane,M. Landreth,0.504,N. Mangiapane,n mangiapane,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,N. Oliver,G. Guenther,0.504,N. Oliver,n oliver,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,N. Outcalt,T. Mar,0.504,N. Outcalt,n outcalt,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,N. Ung,A. Bain,0.504,A. Bain,n ung,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,P. Bartha,K. Molnar,0.504,K. Molnar,p bartha,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,P. Bushuev,J. Day,0.504,J. Day,p bushuev,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,P. Paukstyte,L. Svatíková,0.504,L. Svatíková,p paukstyte,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,P. Pouatcha,D. Zmak,0.504,P. Pouatcha,p pouatcha,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,P. Sallay,C. Swaine,0.504,P. Sallay,p sallay,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,R. Campagnola,M. Castle,0.504,R. Campagnola,r campagnola,0,low_confidence;initialed_name;not_found_in_history
